Gene
ABI1
ABI2
ABL1
ABL2
ACP1
ACTR2
ACTR3
ADAM15
ADAMTSL4
ADAP1
AGAP1
AGT
AIF1
AIMP2
AIPL1
AKT1
AKT2
AKT3
ALG2
ALOX5
ALX1
ANKLE1
ANTXR1
ANXA1
ANXA2
ANXA5
APBB1IP
APP
APPL1
ARAF
ARAP3
ARF1
ARFGAP1
ARHGAP15
ARHGAP9
ARHGEF4
ARHGEF6
ARL11
ARNT
ARPC1B
ARPC2
ARPC5
ARR3
ATF2
ATG16L2
ATR
AXL
AZU1
B3GNTL1
BAG4
BAIAP2
BAK1
BCAR1
BCAR3
BCL2L1
BCLAF1
BCR
BGN
BIN2
BIRC5
BLK
BLNK
BMX
BPI
BPTF
BTK
BTRC
C16orf54
C1orf162
CACNA2D4
CALCR
CALM1
CALM3
CAV1
CAV3
CBL
CBLB
CBX3
CCL23
CCR2
CD244
CD247
CD28
CD33
CD3G
CD53
CD59
CD63
CD80
CD81
CD86
CD9
CDC14A
CDC14B
CDC25A
CDC25B
CDC25C
CDC42
CDH1
CDH5
CDK5
CDK5R1
CDKN3
CEBPB
CEBPE
CEBPG
CEP70
CEP76
CGN
CHEK1
CHN2
CISH
CKB
CLEC11A
CLEC12A
CLTC
CLU
COL18A1
COL1A1
COL1A2
COL3A1
COL5A1
COL6A1
COL6A2
COL6A3
COLEC12
COPA
COPB1
CP
CPSF6
CPT2
CREB1
CREBBP
CRK
CRKL
CSF2
CSF2RA
CSF2RB
CSF3R
CSNK1D
CSNK2A1
CST7
CTNNA1
CTNNB1
CTSG
CTTN
CUL1
CUX1
CXCR2
CXorf21
CYFIP1
CYFIP2
CYSLTR1
CYTH1
CYTH2
CYTH3
CYTH4
DAGLB
DDR2
DENND3
DENND4C
DLG1
DNAJC6
DNM1L
DNM2
DOCK1
DOCK4
DOCK8
DOK1
DOK3
DPEP2
DSG2
DUSP1
DUSP10
DUSP12
DUSP13
DUSP14
DUSP15
DUSP16
DUSP2
DUSP21
DUSP22
DUSP23
DUSP26
DUSP28
DUSP3
DUSP4
DUSP5
DUSP6
DUSP7
DUSP9
DVL1
DVL2
E4F1
EEA1
EFEMP2
EGFR
EGR2
EHD3
EIF2AK2
EIF4EBP1
ELANE
ELMO1
